runid,m,eff_pop,n_pops,n_alleles
0,0.001,30,10,5
1,0.001,30,10,5
2,0.001,30,10,5
3,0.001,30,10,5
4,0.001,30,10,5
5,0.001,30,10,5
6,0.001,30,10,5
7,0.001,30,10,5
8,0.001,30,10,5
9,0.001,30,10,5
10,0.001,30,10,5
11,0.001,30,10,5
12,0.001,30,10,5
13,0.001,30,10,5
14,0.001,30,10,5
15,0.001,30,10,5
16,0.001,30,10,5
17,0.001,30,10,5
18,0.001,30,10,5
19,0.001,30,10,5
20,0.001,30,10,5
21,0.001,30,10,5
22,0.001,30,10,5
23,0.001,30,10,5
24,0.001,30,10,5
25,0.001,30,10,5
26,0.001,30,10,5
27,0.001,30,10,5
28,0.001,30,10,5
29,0.001,30,10,5
30,0.001,30,10,5
31,0.001,30,10,5
32,0.001,30,10,5
33,0.001,30,10,5
34,0.001,30,10,5
35,0.001,30,10,5
36,0.001,30,10,5
37,0.001,30,10,5
38,0.001,30,10,5
39,0.001,30,10,5
40,0.001,30,10,5
41,0.001,30,10,5
42,0.001,30,10,5
43,0.001,30,10,5
44,0.001,30,10,5
45,0.001,30,10,5
46,0.001,30,10,5
47,0.001,30,10,5
48,0.001,30,10,5
49,0.001,30,10,5
50,0.001,100,10,5
51,0.001,100,10,5
52,0.001,100,10,5
53,0.001,100,10,5
54,0.001,100,10,5
55,0.001,100,10,5
56,0.001,100,10,5
57,0.001,100,10,5
58,0.001,100,10,5
59,0.001,100,10,5
60,0.001,100,10,5
61,0.001,100,10,5
62,0.001,100,10,5
63,0.001,100,10,5
64,0.001,100,10,5
65,0.001,100,10,5
66,0.001,100,10,5
67,0.001,100,10,5
68,0.001,100,10,5
69,0.001,100,10,5
70,0.001,100,10,5
71,0.001,100,10,5
72,0.001,100,10,5
73,0.001,100,10,5
74,0.001,100,10,5
75,0.001,100,10,5
76,0.001,100,10,5
77,0.001,100,10,5
78,0.001,100,10,5
79,0.001,100,10,5
80,0.001,100,10,5
81,0.001,100,10,5
82,0.001,100,10,5
83,0.001,100,10,5
84,0.001,100,10,5
85,0.001,100,10,5
86,0.001,100,10,5
87,0.001,100,10,5
88,0.001,100,10,5
89,0.001,100,10,5
90,0.001,100,10,5
91,0.001,100,10,5
92,0.001,100,10,5
93,0.001,100,10,5
94,0.001,100,10,5
95,0.001,100,10,5
96,0.001,100,10,5
97,0.001,100,10,5
98,0.001,100,10,5
99,0.001,100,10,5
100,0.001,300,10,5
101,0.001,300,10,5
102,0.001,300,10,5
103,0.001,300,10,5
104,0.001,300,10,5
105,0.001,300,10,5
106,0.001,300,10,5
107,0.001,300,10,5
108,0.001,300,10,5
109,0.001,300,10,5
110,0.001,300,10,5
111,0.001,300,10,5
112,0.001,300,10,5
113,0.001,300,10,5
114,0.001,300,10,5
115,0.001,300,10,5
116,0.001,300,10,5
117,0.001,300,10,5
118,0.001,300,10,5
119,0.001,300,10,5
120,0.001,300,10,5
121,0.001,300,10,5
122,0.001,300,10,5
123,0.001,300,10,5
124,0.001,300,10,5
125,0.001,300,10,5
126,0.001,300,10,5
127,0.001,300,10,5
